runs,prompt,metric_name,dataset_name,score,step
xxl-lm-d4-091621-512,_GPT_3_Style,accuracy,super_glue_wsc.fixed,33.653846740722656,1112200
xxl-lm-d4-091621-512,_I_think_they_mean,accuracy,super_glue_wsc.fixed,69.23076629638672,1112200
xxl-lm-d4-091621-512,_Who_is_are,accuracy,super_glue_wsc.fixed,0.9615384340286255,1112200
xxl-lm-d4-091621-512,_Who_or_what_is_are,accuracy,super_glue_wsc.fixed,0.9615384340286255,1112200
xxl-lm-d4-091621-512,_by_p_they_mean,accuracy,super_glue_wsc.fixed,60.57692337036133,1112200
xxl-lm-d4-091621-512,_does_p_stand_for,accuracy,super_glue_wsc.fixed,64.42308044433594,1112200
xxl-lm-d4-091621-512,_does_the_pronoun_refer_to,accuracy,super_glue_wsc.fixed,64.42308044433594,1112200
xxl-lm-d4-091621-512,_in_other_words,accuracy,super_glue_wsc.fixed,67.30769348144531,1112200
xxl-lm-d4-091621-512,_p_is_are_r,accuracy,super_glue_wsc.fixed,49.03845977783203,1112200
xxl-lm-d4-091621-512,_replaced_with,accuracy,super_glue_wsc.fixed,50.96154022216797,1112200
xxl-lm-d4-091621-512,_the_pronoun_refers_to,accuracy,super_glue_wsc.fixed,57.69230651855469,1112200
xxl-lm-d4-gpt-091621,_GPT_3_Style,accuracy,super_glue_wsc.fixed,62.5,1112200
xxl-lm-d4-gpt-091621,_I_think_they_mean,accuracy,super_glue_wsc.fixed,63.46154022216797,1112200
xxl-lm-d4-gpt-091621,_Who_is_are,accuracy,super_glue_wsc.fixed,28.846153259277344,1112200
xxl-lm-d4-gpt-091621,_Who_or_what_is_are,accuracy,super_glue_wsc.fixed,14.423076629638672,1112200
xxl-lm-d4-gpt-091621,_by_p_they_mean,accuracy,super_glue_wsc.fixed,64.42308044433594,1112200
xxl-lm-d4-gpt-091621,_does_p_stand_for,accuracy,super_glue_wsc.fixed,64.42308044433594,1112200
xxl-lm-d4-gpt-091621,_does_the_pronoun_refer_to,accuracy,super_glue_wsc.fixed,67.30769348144531,1112200
xxl-lm-d4-gpt-091621,_in_other_words,accuracy,super_glue_wsc.fixed,65.38461303710938,1112200
xxl-lm-d4-gpt-091621,_p_is_are_r,accuracy,super_glue_wsc.fixed,49.03845977783203,1112200
xxl-lm-d4-gpt-091621,_replaced_with,accuracy,super_glue_wsc.fixed,66.34615325927734,1112200
xxl-lm-d4-gpt-091621,_the_pronoun_refers_to,accuracy,super_glue_wsc.fixed,59.61538314819336,1112200
xxl-lm-d4-all-091621,_GPT_3_Style,accuracy,super_glue_wsc.fixed,69.23076629638672,1112000
xxl-lm-d4-all-091621,_I_think_they_mean,accuracy,super_glue_wsc.fixed,70.19230651855469,1112000
xxl-lm-d4-all-091621,_Who_is_are,accuracy,super_glue_wsc.fixed,58.653846740722656,1112000
xxl-lm-d4-all-091621,_Who_or_what_is_are,accuracy,super_glue_wsc.fixed,59.61538314819336,1112000
xxl-lm-d4-all-091621,_by_p_they_mean,accuracy,super_glue_wsc.fixed,73.07691955566406,1112000
xxl-lm-d4-all-091621,_does_p_stand_for,accuracy,super_glue_wsc.fixed,68.26923370361328,1112000
xxl-lm-d4-all-091621,_does_the_pronoun_refer_to,accuracy,super_glue_wsc.fixed,73.07691955566406,1112000
xxl-lm-d4-all-091621,_in_other_words,accuracy,super_glue_wsc.fixed,74.03845977783203,1112000
xxl-lm-d4-all-091621,_p_is_are_r,accuracy,super_glue_wsc.fixed,66.34615325927734,1112000
xxl-lm-d4-all-091621,_replaced_with,accuracy,super_glue_wsc.fixed,68.26923370361328,1112000
xxl-lm-d4-all-091621,_the_pronoun_refers_to,accuracy,super_glue_wsc.fixed,67.30769348144531,1112000
xxl-lm-d4-og-091621,_GPT_3_Style,accuracy,super_glue_wsc.fixed,2.884615421295166,1112000
xxl-lm-d4-og-091621,_I_think_they_mean,accuracy,super_glue_wsc.fixed,60.57692337036133,1112000
xxl-lm-d4-og-091621,_Who_is_are,accuracy,super_glue_wsc.fixed,,1112000
xxl-lm-d4-og-091621,_Who_or_what_is_are,accuracy,super_glue_wsc.fixed,1.923076868057251,1112000
xxl-lm-d4-og-091621,_by_p_they_mean,accuracy,super_glue_wsc.fixed,55.769229888916016,1112000
xxl-lm-d4-og-091621,_does_p_stand_for,accuracy,super_glue_wsc.fixed,56.730770111083984,1112000
xxl-lm-d4-og-091621,_does_the_pronoun_refer_to,accuracy,super_glue_wsc.fixed,54.80769348144531,1112000
xxl-lm-d4-og-091621,_in_other_words,accuracy,super_glue_wsc.fixed,26.923076629638672,1112000
xxl-lm-d4-og-091621,_p_is_are_r,accuracy,super_glue_wsc.fixed,2.884615421295166,1112000
